"Story","Title","Result","Date","Stability","Duration (s)"
"Validar los servicios web de Reqres","Listar usuarios","SUCCESS","2024-09-09T10:19:28.5492654-05:00[America/Bogota]","0.0","3.31"
"Validar los servicios web de Reqres","Crear un nuevo usuario","SUCCESS","2024-09-09T10:19:31.8880056-05:00[America/Bogota]","0.0","2.14"
"Validar los servicios web de Reqres","Actualizar un usuario existente","SUCCESS","2024-09-09T10:19:34.0406993-05:00[America/Bogota]","0.0","0.65"
"Validar los servicios web de Reqres","Eliminar un usuario existente","SUCCESS","2024-09-09T10:19:34.7066061-05:00[America/Bogota]","0.0","0.55"
"Agregar productos al carrito de compras en la categoría ""Agradecimientos""","Productos categoría agradecimientos","SUCCESS","2024-09-09T10:09:13.2917865-05:00[America/Bogota]","0.0","60.45"
"Agregar productos al carrito de compras en la categoría ""Agradecimientos""","Añadir dos productos de la categoría Agradecimientos al carrito de compras","SUCCESS","2024-09-09T10:10:14.1026392-05:00[America/Bogota]","0.0","30.92"
"Agregar productos al carrito de compras en la categoría ""Agradecimientos""","Validar que los productos se muestran correctamente en la opción Carro","SUCCESS","2024-09-09T10:10:45.5424608-05:00[America/Bogota]","0.0","47.74"
